Image -> Predicted | Actual | Scientific name | Common name
01.1.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.10.jpg -> 31 | 1 | Liriodendron chinense (Hemsl.) Sarg. | Chinese Tulip Tree
01.2.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.3.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.4.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.5.jpg -> 31 | 1 | Liriodendron chinense (Hemsl.) Sarg. | Chinese Tulip Tree
01.6.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.7.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.8.jpg -> 19 | 1 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
01.9.jpg -> 31 | 1 | Liriodendron chinense (Hemsl.) Sarg. | Chinese Tulip Tree
02.1.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.10.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.2.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.3.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.4.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.5.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.6.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.7.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.8.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
02.9.jpg -> 15 | 2 | Viburnum awabuki K.Koch | Japan Arrowwood
03.1.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.10.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.2.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.3.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.4.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.5.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.6.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.7.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.8.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
03.9.jpg -> 15 | 3 | Viburnum awabuki K.Koch | Japan Arrowwood
04.1.jpg -> 15 | 4 | Viburnum awabuki K.Koch | Japan Arrowwood
04.10.jpg -> 19 | 4 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
04.2.jpg -> 31 | 4 | Liriodendron chinense (Hemsl.) Sarg. | Chinese Tulip Tree
04.3.jpg -> 15 | 4 | Viburnum awabuki K.Koch | Japan Arrowwood
04.4.jpg -> 15 | 4 | Viburnum awabuki K.Koch | Japan Arrowwood
04.5.jpg -> 15 | 4 | Viburnum awabuki K.Koch | Japan Arrowwood
04.6.jpg -> 19 | 4 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
04.7.jpg -> 15 | 4 | Viburnum awabuki K.Koch | Japan Arrowwood
04.8.jpg -> 19 | 4 | Lagerstroemia indica (L.) Pers. | Crape myrtle, Crepe myrtle
04.9.jpg -> 15 | 4 | Viburnum awabuki K.Koch | Japan Arrowwood
05.1.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.10.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.2.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.3.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.4.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.5.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.6.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.7.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.8.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
05.9.jpg -> 15 | 5 | Viburnum awabuki K.Koch | Japan Arrowwood
06.1.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.10.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.2.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.3.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.4.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.5.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.6.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.7.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.8.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
06.9.jpg -> 15 | 6 | Viburnum awabuki K.Koch | Japan Arrowwood
07.1.jpg -> 31 | 7 | Liriodendron chinense (Hemsl.) Sarg. | Chinese Tulip Tree
07.10.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.2.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.3.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.4.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.5.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.6.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.7.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.8.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
07.9.jpg -> 15 | 7 | Viburnum awabuki K.Koch | Japan Arrowwood
08.1.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.10.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.2.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.3.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.4.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.5.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.6.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.7.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
08.8.jpg -> 15 | 8 | Viburnum awabuki K.Koch | Japan Arrowwood
